Time,Open,High,Low,Close,Volume
2024-01-02,1138.5,1141.8,1131.0,1133.5,167307
2024-01-03,1130.5,1148.3,1126.5,1148.3,173569
2024-01-04,1146.0,1171.0,1145.5,1156.5,260804
2024-01-05,1156.1,1166.0,1154.2,1166.0,199452
2024-01-08,1166.1,1173.3,1160.6,1162.0,182329
2024-01-09,1166.0,1166.0,1159.0,1163.0,149798
2024-01-10,1162.5,1170.8,1159.7,1163.1,201693
2024-01-11,1164.8,1176.2,1162.9,1168.1,208491
2024-01-12,1165.9,1169.3,1151.0,1165.9,292209
2024-01-15,1168.9,1175.3,1162.7,1162.7,168199
2024-01-16,1158.0,1172.0,1157.7,1172.0,175919
2024-01-17,1171.2,1179.6,1164.4,1166.0,228003
2024-01-18,1168.1,1177.8,1165.8,1172.8,171101
2024-01-19,1181.0,1190.0,1180.4,1190.0,188161
2024-01-22,1194.8,1196.2,1186.2,1194.0,169406
2024-01-23,1193.0,1194.5,1181.6,1184.0,179695
2024-01-24,1183.4,1190.4,1179.1,1180.7,201972
2024-01-25,1181.4,1183.9,1175.0,1180.5,182718
2024-01-26,1182.9,1188.8,1181.8,1187.0,155805
2024-01-29,1188.6,1189.5,1181.7,1183.6,114408
2024-01-30,1184.0,1187.2,1182.7,1186.0,81386
2024-01-31,1186.2,1188.5,1165.7,1171.0,177010
2024-02-01,1168.6,1180.5,1168.6,1177.2,160396
2024-02-02,1179.5,1182.3,1174.9,1181.1,132910
2024-02-05,1182.6,1211.0,1181.3,1202.5,170249
2024-02-06,1201.7,1205.8,1200.8,1203.9,111581
2024-02-07,1206.7,1219.8,1205.3,1219.0,136049
2024-02-15,1224.7,1227.8,1217.8,1217.8,103152
2024-02-16,1225.6,1232.0,1222.6,1232.0,130613
2024-02-19,1231.5,1243.8,1230.6,1240.5,146806
2024-02-20,1241.3,1243.6,1237.6,1240.2,133487
2024-02-21,1235.2,1248.3,1235.2,1240.0,195135
2024-02-22,1240.1,1242.5,1235.9,1238.0,133024
2024-02-23,1240.5,1253.9,1225.1,1225.1,271852
2024-02-26,1226.3,1231.4,1222.2,1230.3,143409
